Fecha,M_FOB_miles,IDEAC,IPC_Transporte,Impuesto Ambiental Contaminación Vehicular,ICC
Jan-15,22381019627,163.3,101.324349,9790.526492,41.6
Feb-15,16763997199,162.8,102.4232368,13398.4448,41.7
Mar-15,14429628448,162.3,102.9652201,12102.71103,39.2
Apr-15,15256367237,161.6,104.7189279,10968.13398,39.4
May-15,6391316331,160.6,104.8202144,9904.847014,40.4
Jun-15,6451405118,159.4,105.747636,9934.673996,41.6
Jul-15,8345263937,157.9,105.2081201,10932.42637,38.7
Aug-15,5432178467,156.2,105.3889569,8088.926896,39.5
Sep-15,4200676337,154.3,105.6561499,7691.302042,39.5
Oct-15,3502275789,152.4,105.6395437,6977.17673,37.3
Nov-15,4415722528,150.7,105.9994143,6529.845853,34.6
Dec-15,7623319723,149.3,105.7131017,6881.805266,36.2
Jan-16,11251274854,148.2,105.9880931,1913.44937,37.6
Feb-16,5199260083,147.6,105.4066075,2230.7264,33.4
Mar-16,4791375140,147.4,105.3393311,2261.41297,33.8
Apr-16,7316019823,147.5,105.4004568,1861.69284,31.6
May-16,3427811224,147.9,105.3970991,1696.22116,29.9
Jun-16,1474445252,148.6,105.2004899,2174.42562,36
Jul-16,6795111910,149.5,104.9692129,2556.34318,31.5
Aug-16,2125515437,150.6,104.6798682,2530.40431,30.9
Sep-16,2285468874,151.9,105.8508332,2321.6144,36.6
Oct-16,15515270248,153.2,105.9468794,2596.1184,34.3
Nov-16,3594636091,154.5,105.9312721,2547.96459,33.4
Dec-16,3191917311,155.6,106.0555467,3553.27735,39
Jan-17,10992518044,156.6,106.0308738,7825.34808,38.1
Feb-17,9178019626,157.2,105.91815,11457.23852,36.2
Mar-17,8322284764,157.4,105.8328475,11377.6352,39.2
Apr-17,18352138371,157.3,106.0058026,9810.729452,37.8
May-17,21986516393,157.0,106.2299845,10772.92688,37.5
Jun-17,34799667725,156.6,106.3493187,10039.22166,40.2
Jul-17,32059544221,156.1,106.3003363,9329.80613,39.3
Aug-17,37152363557,155.7,106.3568562,9565.3373,39
Sep-17,41435317106,155.5,106.2863549,8193.611644,39.4
Oct-17,40870152965,155.8,106.0445123,8200.181096,39.5
Nov-17,47499676118,156.4,106.3277879,7549.617372,39.3
Dec-17,52556692937,157.4,106.3164703,6829.922362,38.9
Jan-18,29694507019,158.6,106.0546679,11211.30059,40.2
Feb-18,38180986805,159.8,106.1744862,11174.54875,40.3
Mar-18,50867305434,161.0,105.9768659,11138.42203,38.8
Apr-18,36641880258,162.0,105.9054748,10538.2023,39.3
May-18,37144573254,162.7,105.5791817,10952.22315,39
Jun-18,18944588460,163.1,105.3109872,10101.89357,39.7
Jul-18,38138631553,163.2,105.5736565,9941.658612,39.8
Aug-18,39953690640,163.0,105.9988685,9539.565316,37.5
Sep-18,41085262427,162.8,107.2059622,8426.67692,41.9
Oct-18,39073226115,162.5,107.3394217,8616.152126,40
Nov-18,37077993778,162.2,107.1173848,8242.06925,41.5
Dec-18,27135005270,162.1,107.533802,9604.696786,39.3
Jan-19,47946091500,162.2,108.8199935,7385.350902,38.1
Feb-19,36585954935,162.3,108.2209358,13542.74167,38.9
Mar-19,28975589594,162.4,107.6505595,11682.56238,37.9
Apr-19,34019982229,162.5,108.0583501,12681.51992,39.1
May-19,41922055450,162.5,108.4803044,12105.36257,37.9
Jun-19,52026406671,162.2,108.9406102,9894.615248,38
Jul-19,36909080124,161.5,109.1588093,10689.73479,37.6
Aug-19,52527285422,160.5,108.8007887,10053.31488,38.2
Sep-19,45192639990,159.0,108.8269161,9947.612682,37
Oct-19,36806350164,156.9,111.1814882,8140.360216,37
Nov-19,27675824099,154.4,108.1340432,8052.343794,37.6
Dec-19,41458747441,151.5,108.3559184,8074.39983,37.2
Jan-20,24508211465,148.5,107.8585435,804.950594,37
Feb-20,25096601676,145.8,108.0779957,1257.460168,37.1
Mar-20,16987557021,143.6,107.5562724,560.668824,37.05
Apr-20,1221117646,142.0,107.4563056,49.95156,37.05
May-20,2906258806,141.3,107.1907621,150.77729,27.15
Jun-20,8637569827,141.4,106.4131431,453.72212,27.15
Jul-20,11218939770,142.3,105.1434921,592.04311,26.95
Aug-20,13336655254,143.9,104.5548225,540.75538,27.15
Sep-20,19900362373,145.9,105.8929345,626.001,28.48
Oct-20,23463577774,148.2,105.9624433,612.27902,30.38
Nov-20,28034252680,150.4,105.9321782,634.79345,28.85
Dec-20,28214875920,152.5,105.866747,961.03676,32.34
